Index,File Name,Label,"种类: Percussive (tapping), Friction (scratching), Vocal (whisper), Ambient (water, paper)"
1,01dEsT3f6mk_0_10.wav,Vocal,"Percussive: 敲击声，Friction: 摩擦声， Vocal: 人说话或者嘴发出声音,  Ambient: 水声，自然场景"
2,01dEsT3f6mk_1110_1120.wav,Ambient,"编码，Percussive : 1, Friction : 2, Vocal : 3,  Ambient : 4"
3,01dEsT3f6mk_1310_1320.wav,Friction,
4,01dEsT3f6mk_160_170.wav,Percussive,
5,01dEsT3f6mk_1690_1700.wav,Vocal,
6,01dEsT3f6mk_1960_1970.wav,Percussive,
7,01dEsT3f6mk_2250_2260.wav,Ambient,
8,01dEsT3f6mk_230_240.wav,Vocal,
9,01dEsT3f6mk_2380_2390.wav,Percussive,
10,01dEsT3f6mk_2710_2720.wav,Friction,
11,01dEsT3f6mk_2760_2770.wav,Percussive,
12,01dEsT3f6mk_3110_3120.wav,Friction,
13,01dEsT3f6mk_880_890.wav,Percussive,
14,0c1aOttn738_1280_1290.wav,Friction,
15,0c1aOttn738_1330_1340.wav,Friction,
16,0c1aOttn738_1370_1380.wav,Friction + Vocal,
17,0c1aOttn738_1500_1510.wav,,
18,0c1aOttn738_1650_1660.wav,,
19,0c1aOttn738_1880_1890.wav,,
20,0c1aOttn738_2070_2080.wav,,
21,0c1aOttn738_240_250.wav,,
22,0c1aOttn738_30_40.wav,,
23,0c1aOttn738_420_430.wav,,
24,0c1aOttn738_570_580.wav,,
25,0c1aOttn738_920_930.wav,,
26,0CYk3JB5y9E_1050_1060.wav,,
27,0CYk3JB5y9E_1070_1080.wav,,
28,0CYk3JB5y9E_1090_1100.wav,,
29,0CYk3JB5y9E_1100_1110.wav,,
30,0CYk3JB5y9E_1180_1190.wav,,
31,0CYk3JB5y9E_1220_1230.wav,,
32,0CYk3JB5y9E_1250_1260.wav,,
33,0CYk3JB5y9E_1350_1360.wav,,
34,0CYk3JB5y9E_240_250.wav,,
35,0CYk3JB5y9E_340_350.wav,,
36,0CYk3JB5y9E_550_560.wav,,
37,0CYk3JB5y9E_810_820.wav,,
38,0CYk3JB5y9E_920_930.wav,,
39,0m484iQZ25g_1150_1160.wav,,
40,0m484iQZ25g_1280_1290.wav,,
41,0m484iQZ25g_1400_1410.wav,,
42,0m484iQZ25g_1750_1760.wav,,
43,0m484iQZ25g_2130_2140.wav,,
44,0m484iQZ25g_2270_2280.wav,,
45,0m484iQZ25g_2750_2760.wav,,
46,0m484iQZ25g_420_430.wav,,
47,0m484iQZ25g_730_740.wav,,
48,0m484iQZ25g_950_960.wav,,
49,0Porj3Sszzw_1000_1010.wav,,
50,0Porj3Sszzw_100_110.wav,,
51,0Porj3Sszzw_1260_1270.wav,,
52,0Porj3Sszzw_1400_1410.wav,,
53,0Porj3Sszzw_1530_1540.wav,,
54,0Porj3Sszzw_390_400.wav,,
55,0Porj3Sszzw_470_480.wav,,
56,0Porj3Sszzw_540_550.wav,,
57,0Porj3Sszzw_710_720.wav,,
58,0Porj3Sszzw_780_790.wav,,
59,0Porj3Sszzw_790_800.wav,,
60,0Porj3Sszzw_940_950.wav,,
61,0vsubBTedF0_110_120.wav,,
62,0vsubBTedF0_130_140.wav,,
63,0vsubBTedF0_40_50.wav,,
64,0vsubBTedF0_450_460.wav,,
65,0vsubBTedF0_530_540.wav,,
66,0vsubBTedF0_590_600.wav,,
67,0vsubBTedF0_650_660.wav,,
68,0vsubBTedF0_660_670.wav,,
69,0vsubBTedF0_730_740.wav,,
70,0vsubBTedF0_810_820.wav,,
71,0vsubBTedF0_850_860.wav,,
72,0vsubBTedF0_860_870.wav,,
73,17THcN9H9M_1040_1050.wav,,
74,17THcN9H9M_1610_1620.wav,,
75,17THcN9H9M_1730_1740.wav,,
76,17THcN9H9M_1790_1800.wav,,
77,17THcN9H9M_1800_1810.wav,,
78,17THcN9H9M_1970_1980.wav,,
79,17THcN9H9M_280_290.wav,,
80,17THcN9H9M_320_330.wav,,
81,17THcN9H9M_970_980.wav,,
82,1bCPbxQLt04_190_200.wav,,
83,1bCPbxQLt04_240_250.wav,,
84,1bCPbxQLt04_250_260.wav,,
85,1bCPbxQLt04_40_50.wav,,
86,1bCPbxQLt04_450_460.wav,,
87,1bCPbxQLt04_680_690.wav,,
88,1bCPbxQLt04_760_770.wav,,
89,1bCPbxQLt04_870_880.wav,,
90,1bCPbxQLt04_930_940.wav,,
91,1P4q-g-B0k_1000_1010.wav,,
92,1P4q-g-B0k_1150_1160.wav,,
93,1P4q-g-B0k_20_30.wav,,
94,1P4q-g-B0k_330_340.wav,,
95,1P4q-g-B0k_340_350.wav,,
96,1P4q-g-B0k_400_410.wav,,
97,1P4q-g-B0k_420_430.wav,,
98,1P4q-g-B0k_440_450.wav,,
99,1P4q-g-B0k_480_490.wav,,
100,1P4q-g-B0k_630_640.wav,,
101,1P4q-g-B0k_710_720.wav,,
102,1P4q-g-B0k_740_750.wav,,
103,1tAplfMTREQ_0_10.wav,,
104,1tAplfMTREQ_1000_1010.wav,,
105,1tAplfMTREQ_1060_1070.wav,,
106,1tAplfMTREQ_1160_1170.wav,,
107,1tAplfMTREQ_1510_1520.wav,,
108,1tAplfMTREQ_1780_1790.wav,,
109,1tAplfMTREQ_2110_2120.wav,,
110,1tAplfMTREQ_390_400.wav,,
111,1tAplfMTREQ_810_820.wav,,
112,1tetlgRkjRI_1060_1070.wav,,
113,1tetlgRkjRI_1130_1140.wav,,
114,1tetlgRkjRI_1260_1270.wav,,
115,1tetlgRkjRI_1380_1390.wav,,
116,1tetlgRkjRI_140_150.wav,,
117,1tetlgRkjRI_460_470.wav,,
118,1tetlgRkjRI_470_480.wav,,
119,1tetlgRkjRI_690_700.wav,,
120,1tetlgRkjRI_760_770.wav,,
121,1tetlgRkjRI_770_780.wav,,
122,1tetlgRkjRI_790_800.wav,,
123,1tetlgRkjRI_840_850.wav,,
124,1tetlgRkjRI_930_940.wav,,
125,1wh8f-b6Tys_140_150.wav,,
126,1wh8f-b6Tys_220_230.wav,,
127,1wh8f-b6Tys_330_340.wav,,
128,1wh8f-b6Tys_350_360.wav,,
129,1wh8f-b6Tys_540_550.wav,,
130,1wh8f-b6Tys_620_630.wav,,
131,1wh8f-b6Tys_70_80.wav,,
132,1wh8f-b6Tys_740_750.wav,,
133,1wh8f-b6Tys_980_990.wav,,
134,1ZmWeup9P_o_100_110.wav,,
135,1ZmWeup9P_o_10_20.wav,,
136,1ZmWeup9P_o_120_130.wav,,
137,1ZmWeup9P_o_160_170.wav,,
138,1ZmWeup9P_o_230_240.wav,,
139,1ZmWeup9P_o_420_430.wav,,
140,1ZmWeup9P_o_430_440.wav,,
141,1ZmWeup9P_o_500_510.wav,,
142,1ZmWeup9P_o_550_560.wav,,
143,1ZmWeup9P_o_580_590.wav,,
144,1ZmWeup9P_o_640_650.wav,,
145,1ZmWeup9P_o_720_730.wav,,
146,1ZmWeup9P_o_750_760.wav,,
147,1ZW9NcN2C8c_1050_1060.wav,,
148,1ZW9NcN2C8c_1110_1120.wav,,
149,1ZW9NcN2C8c_1200_1210.wav,,
150,1ZW9NcN2C8c_1390_1400.wav,,
151,1ZW9NcN2C8c_270_280.wav,,
152,1ZW9NcN2C8c_500_510.wav,,
153,1ZW9NcN2C8c_550_560.wav,,
154,1ZW9NcN2C8c_570_580.wav,,
155,1ZW9NcN2C8c_880_890.wav,,
156,1ZW9NcN2C8c_930_940.wav,,
157,2-op2YnrsO8_780_790.wav,,
158,21BNBWdRC3g_0_10.wav,,
159,21BNBWdRC3g_290_300.wav,,
160,21BNBWdRC3g_600_610.wav,,
161,21BNBWdRC3g_620_630.wav,,
162,21BNBWdRC3g_640_650.wav,,
163,21BNBWdRC3g_660_670.wav,,
164,21BNBWdRC3g_680_690.wav,,
165,21BNBWdRC3g_900_910.wav,,
166,22lto0abdIM_1180_1190.wav,,
167,22lto0abdIM_1310_1320.wav,,
168,22lto0abdIM_1320_1330.wav,,
169,22lto0abdIM_1410_1420.wav,,
170,22lto0abdIM_160_170.wav,,
171,22lto0abdIM_240_250.wav,,
172,22lto0abdIM_380_390.wav,,
173,22lto0abdIM_400_410.wav,,
174,22lto0abdIM_520_530.wav,,
175,22lto0abdIM_580_590.wav,,
176,22lto0abdIM_780_790.wav,,
177,22lto0abdIM_880_890.wav,,
178,22lto0abdIM_930_940.wav,,
179,27QQsmFa2AY_190_200.wav,,
180,27QQsmFa2AY_240_250.wav,,
181,27QQsmFa2AY_250_260.wav,,
182,27QQsmFa2AY_370_380.wav,,
183,27QQsmFa2AY_40_50.wav,,
184,27QQsmFa2AY_420_430.wav,,
185,27QQsmFa2AY_430_440.wav,,
186,27QQsmFa2AY_460_470.wav,,
187,27QQsmFa2AY_50_60.wav,,
188,27QQsmFa2AY_650_660.wav,,
189,27QQsmFa2AY_680_690.wav,,
190,27QQsmFa2AY_690_700.wav,,
191,27QQsmFa2AY_90_100.wav,,
192,2SZmlcNzkQQ_100_110.wav,,
193,2SZmlcNzkQQ_120_130.wav,,
194,2SZmlcNzkQQ_180_190.wav,,
195,2SZmlcNzkQQ_270_280.wav,,
196,2SZmlcNzkQQ_370_380.wav,,
197,2SZmlcNzkQQ_380_390.wav,,
198,2SZmlcNzkQQ_410_420.wav,,
199,2SZmlcNzkQQ_610_620.wav,,
200,2SZmlcNzkQQ_650_660.wav,,
201,2SZmlcNzkQQ_670_680.wav,,
202,2SZmlcNzkQQ_70_80.wav,,
203,2SZmlcNzkQQ_780_790.wav,,
204,2SZmlcNzkQQ_790_800.wav,,
205,3_T0yaugZrc_1060_1070.wav,,
206,3_T0yaugZrc_1250_1260.wav,,
207,3_T0yaugZrc_1300_1310.wav,,
208,3_T0yaugZrc_1350_1360.wav,,
209,3_T0yaugZrc_1390_1400.wav,,
210,3_T0yaugZrc_300_310.wav,,
211,3_T0yaugZrc_350_360.wav,,
212,3_T0yaugZrc_50_60.wav,,
213,3_T0yaugZrc_540_550.wav,,
214,3_T0yaugZrc_790_800.wav,,
215,3_T0yaugZrc_90_100.wav,,
216,3_T0yaugZrc_910_920.wav,,
217,3GOzg1c0EEw_280_290.wav,,
218,3GOzg1c0EEw_3610_3620.wav,,
219,3GOzg1c0EEw_5910_5920.wav,,
220,3GOzg1c0EEw_8640_8650.wav,,
221,3GOzg1c0EEw_9400_9410.wav,,
222,3VGtsSQDQU_1120_1130.wav,,
223,3VGtsSQDQU_1250_1260.wav,,
224,3VGtsSQDQU_150_160.wav,,
225,3VGtsSQDQU_240_250.wav,,
226,3VGtsSQDQU_260_270.wav,,
227,3VGtsSQDQU_390_400.wav,,
228,3VGtsSQDQU_40_50.wav,,
229,3VGtsSQDQU_570_580.wav,,
230,3VGtsSQDQU_710_720.wav,,
231,3VGtsSQDQU_770_780.wav,,
232,3VGtsSQDQU_860_870.wav,,
233,3VGtsSQDQU_890_900.wav,,
234,3VGtsSQDQU_930_940.wav,,
235,4_X5YAXO_XI_1170_1180.wav,,
236,4_X5YAXO_XI_1260_1270.wav,,
237,4_X5YAXO_XI_1480_1490.wav,,
238,4_X5YAXO_XI_1570_1580.wav,,
239,4_X5YAXO_XI_160_170.wav,,
240,4_X5YAXO_XI_330_340.wav,,
241,4_X5YAXO_XI_420_430.wav,,
242,4_X5YAXO_XI_510_520.wav,,
243,4_X5YAXO_XI_880_890.wav,,
244,4_X5YAXO_XI_950_960.wav,,
245,4h41VWPyeo_1800_1810.wav,,
246,4h41VWPyeo_2190_2200.wav,,
247,4h41VWPyeo_320_330.wav,,
248,4h41VWPyeo_990_1000.wav,,
249,4JYXLWLP4co_1110_1120.wav,,
250,4JYXLWLP4co_1180_1190.wav,,
251,4JYXLWLP4co_1200_1210.wav,,
252,4JYXLWLP4co_1340_1350.wav,,
253,4JYXLWLP4co_1380_1390.wav,,
254,4JYXLWLP4co_1440_1450.wav,,
255,4JYXLWLP4co_1750_1760.wav,,
256,4JYXLWLP4co_1910_1920.wav,,
257,4JYXLWLP4co_30_40.wav,,
258,4JYXLWLP4co_3200_3210.wav,,
259,4JYXLWLP4co_330_340.wav,,
260,4JYXLWLP4co_520_530.wav,,
261,4JYXLWLP4co_600_610.wav,,
262,4ufS8Ft4Q-A_1040_1050.wav,,
263,4ufS8Ft4Q-A_1060_1070.wav,,
264,4ufS8Ft4Q-A_1120_1130.wav,,
265,4ufS8Ft4Q-A_1200_1210.wav,,
266,4ufS8Ft4Q-A_1460_1470.wav,,
267,4ufS8Ft4Q-A_440_450.wav,,
268,4ufS8Ft4Q-A_490_500.wav,,
269,4ufS8Ft4Q-A_540_550.wav,,
270,4ufS8Ft4Q-A_690_700.wav,,
